,keyword,threshold,threshold_relax,algo,modularity,performance,coverage,nodes
0,telegraph,0.5,0.5,greedy,0.0,1.0,1.0,2
1,telegraph,0.5,0.5,louvain,0.0,1.0,1.0,2
2,steel,0.5,0.5,greedy,0.5,1.0,1.0,4
3,steel,0.5,0.5,louvain,0.5,1.0,1.0,4
4,elec,0.5,0.5,greedy,Nan,Nan,Nan,0
5,elec,0.5,0.5,louvain,Nan,Nan,Nan,0
6,coal,0.5,0.5,greedy,0.5,1.0,1.0,4
7,coal,0.5,0.5,louvain,0.5,1.0,1.0,4
8,telegraph,0.5,0.75,greedy,0.0,1.0,1.0,2
9,telegraph,0.5,0.75,louvain,0.0,1.0,1.0,2
10,steel,0.5,0.75,greedy,0.5,1.0,1.0,4
11,steel,0.5,0.75,louvain,0.5,1.0,1.0,4
12,elec,0.5,0.75,greedy,Nan,Nan,Nan,0
13,elec,0.5,0.75,louvain,Nan,Nan,Nan,0
14,coal,0.5,0.75,greedy,0.5,1.0,1.0,4
15,coal,0.5,0.75,louvain,0.5,1.0,1.0,4
16,telegraph,0.5,1.0,greedy,0.0,1.0,1.0,2
17,telegraph,0.5,1.0,louvain,0.0,1.0,1.0,2
18,steel,0.5,1.0,greedy,0.5,1.0,1.0,4
19,steel,0.5,1.0,louvain,0.5,1.0,1.0,4
20,elec,0.5,1.0,greedy,Nan,Nan,Nan,0
21,elec,0.5,1.0,louvain,Nan,Nan,Nan,0
22,coal,0.5,1.0,greedy,0.5,1.0,1.0,4
23,coal,0.5,1.0,louvain,0.5,1.0,1.0,4
24,telegraph,0.5,1.25,greedy,0.0,1.0,1.0,2
25,telegraph,0.5,1.25,louvain,0.0,1.0,1.0,2
26,steel,0.5,1.25,greedy,0.5,1.0,1.0,4
27,steel,0.5,1.25,louvain,0.5,1.0,1.0,4
28,elec,0.5,1.25,greedy,Nan,Nan,Nan,0
29,elec,0.5,1.25,louvain,Nan,Nan,Nan,0
30,coal,0.5,1.25,greedy,0.5,1.0,1.0,4
31,coal,0.5,1.25,louvain,0.5,1.0,1.0,4
32,telegraph,0.5,1.5,greedy,0.334319526627219,0.7564102564102564,0.7692307692307693,13
33,telegraph,0.5,1.5,louvain,0.334319526627219,0.7564102564102564,0.7692307692307693,13
34,steel,0.5,1.5,greedy,0.3994082840236687,0.8351648351648352,0.7692307692307693,14
35,steel,0.5,1.5,louvain,0.3994082840236687,0.8351648351648352,0.7692307692307693,14
36,elec,0.5,1.5,greedy,0.4453627180899908,0.8769230769230769,0.6666666666666666,26
37,elec,0.5,1.5,louvain,0.44536271808999084,0.8461538461538461,0.7272727272727273,26
38,coal,0.5,1.5,greedy,0.3416,0.7973856209150327,0.68,18
39,coal,0.5,1.5,louvain,0.3368,0.7843137254901961,0.68,18
40,telegraph,0.5,1.75,greedy,0.14259952520087657,0.738191632928475,0.40540540540540543,39
41,telegraph,0.5,1.75,louvain,0.1662938276113952,0.7557354925775979,0.4189189189189189,39
42,steel,0.5,1.75,greedy,0.20721453287197228,0.7925531914893617,0.4823529411764706,48
43,steel,0.5,1.75,louvain,0.20908304498269895,0.800531914893617,0.4588235294117647,48
44,elec,0.5,1.75,greedy,0.10095516722445588,0.6861239119303636,0.3957345971563981,63
45,elec,0.5,1.75,louvain,0.12028874014510008,0.7096774193548387,0.3981042654028436,63
46,coal,0.5,1.75,greedy,0.18431322926101554,0.7419354838709677,0.5182481751824818,62
47,coal,0.5,1.75,louvain,0.20405322606425494,0.7789529349550502,0.4708029197080292,62
48,telegraph,0.5,2.0,greedy,0.12744292961812068,0.7336936936936936,0.4991181657848324,75
49,telegraph,0.5,2.0,louvain,0.1371664349324549,0.7535135135135135,0.5061728395061729,75
50,steel,0.5,2.0,greedy,0.14047783933518013,0.7543345543345543,0.5210526315789473,91
51,steel,0.5,2.0,louvain,0.1636037049861496,0.7155067155067155,0.5184210526315789,91
52,elec,0.5,2.0,greedy,0.07367189881496723,0.6091065292096219,0.5308641975308642,97
53,elec,0.5,2.0,louvain,0.09876513441167502,0.6883591065292096,0.4575617283950617,97
54,coal,0.5,2.0,greedy,0.117392438544978,0.6189384588256039,0.493431855500821,107
55,coal,0.5,2.0,louvain,0.14658374249422318,0.6764239111267853,0.513136288998358,107
56,telegraph,0.5,2.25,greedy,0.12865064546368007,0.6560887512899897,0.6330445544554455,153
57,telegraph,0.5,2.25,louvain,0.1471230991446917,0.7774337805297558,0.5383663366336634,153
58,steel,0.5,2.25,greedy,0.15523453318759706,0.5640056683986774,0.6284074605451937,146
59,steel,0.5,2.25,louvain,0.16877563450290595,0.6891828058573453,0.5351506456241033,146
60,elec,0.5,2.25,greedy,0.09591148836712113,0.5720808871493803,0.5819341840161182,147
61,elec,0.5,2.25,louvain,0.09905734734369487,0.600503214984624,0.5822699798522498,147
62,coal,0.5,2.25,greedy,0.09579892113095234,0.643361581920904,0.47470238095238093,177
63,coal,0.5,2.25,louvain,0.11031741602891154,0.6255778120184899,0.4455357142857143,177
64,telegraph,0.75,0.75,greedy,0.8148148148148148,1.0,1.0,15
65,telegraph,0.75,0.75,louvain,0.8148148148148148,1.0,1.0,15
66,steel,0.75,0.75,greedy,0.8476454293628807,0.9629629629629629,1.0,27
67,steel,0.75,0.75,louvain,0.8476454293628807,0.9629629629629629,1.0,27
68,elec,0.75,0.75,greedy,0.7777777777777777,0.9818181818181818,1.0,11
69,elec,0.75,0.75,louvain,0.7777777777777777,0.9818181818181818,1.0,11
70,coal,0.75,0.75,greedy,0.507716049382716,0.9215686274509803,0.8333333333333334,18
71,coal,0.75,0.75,louvain,0.5385802469135802,0.9019607843137255,0.8333333333333334,18
72,telegraph,0.75,1.0,greedy,0.8148148148148148,1.0,1.0,15
73,telegraph,0.75,1.0,louvain,0.8148148148148148,1.0,1.0,15
74,steel,0.75,1.0,greedy,0.8476454293628807,0.9629629629629629,1.0,27
75,steel,0.75,1.0,louvain,0.8476454293628807,0.9629629629629629,1.0,27
76,elec,0.75,1.0,greedy,0.7777777777777777,0.9818181818181818,1.0,11
77,elec,0.75,1.0,louvain,0.7777777777777777,0.9818181818181818,1.0,11
78,coal,0.75,1.0,greedy,0.507716049382716,0.9215686274509803,0.8333333333333334,18
79,coal,0.75,1.0,louvain,0.5385802469135802,0.9019607843137255,0.8333333333333334,18
80,telegraph,0.75,1.25,greedy,0.8148148148148148,1.0,1.0,15
81,telegraph,0.75,1.25,louvain,0.8148148148148148,1.0,1.0,15
82,steel,0.75,1.25,greedy,0.8476454293628807,0.9629629629629629,1.0,27
83,steel,0.75,1.25,louvain,0.8476454293628807,0.9629629629629629,1.0,27
84,elec,0.75,1.25,greedy,0.7777777777777777,0.9818181818181818,1.0,11
85,elec,0.75,1.25,louvain,0.7777777777777777,0.9818181818181818,1.0,11
86,coal,0.75,1.25,greedy,0.507716049382716,0.9215686274509803,0.8333333333333334,18
87,coal,0.75,1.25,louvain,0.5077160493827161,0.9215686274509803,0.8333333333333334,18
88,telegraph,0.75,1.5,greedy,0.6043083900226758,0.9130434782608695,0.8571428571428571,23
89,telegraph,0.75,1.5,louvain,0.6043083900226758,0.9130434782608695,0.8571428571428571,23
90,steel,0.75,1.5,greedy,0.6972222222222224,0.9429590017825312,0.9,34
91,steel,0.75,1.5,louvain,0.6972222222222222,0.9429590017825312,0.9,34
92,elec,0.75,1.5,greedy,0.5072320841551611,0.8977272727272727,0.7435897435897436,33
93,elec,0.75,1.5,louvain,0.5072320841551611,0.8977272727272727,0.7435897435897436,33
94,coal,0.75,1.5,greedy,0.35187388459250446,0.8804347826086957,0.6097560975609756,24
95,coal,0.75,1.5,louvain,0.35306365258774536,0.8442028985507246,0.7560975609756098,24
96,telegraph,0.75,1.75,greedy,0.21336702827087445,0.8067375886524822,0.5641025641025641,48
97,telegraph,0.75,1.75,louvain,0.21776380670611445,0.7987588652482269,0.5512820512820513,48
98,steel,0.75,1.75,greedy,0.2670508164374161,0.8646218931782126,0.5080213903743316,62
99,steel,0.75,1.75,louvain,0.29234464811690364,0.8572184029613961,0.6203208556149733,62
100,elec,0.75,1.75,greedy,0.12111592715521002,0.7254807692307692,0.4252336448598131,65
101,elec,0.75,1.75,louvain,0.12267446938597255,0.7576923076923077,0.40186915887850466,65
102,coal,0.75,1.75,greedy,0.21677764565992869,0.8014423076923077,0.4827586206896552,65
103,coal,0.75,1.75,louvain,0.2083293697978597,0.7721153846153846,0.5655172413793104,65
104,telegraph,0.75,2.0,greedy,0.13973988657844982,0.7890096973258889,0.4678260869565217,83
105,telegraph,0.75,2.0,louvain,0.14677202268430997,0.7954745812518366,0.49217391304347824,83
106,steel,0.75,2.0,greedy,0.16931437780858635,0.7626718213058419,0.5341055341055341,97
107,steel,0.75,2.0,louvain,0.17896688746109596,0.7940292096219931,0.44272844272844275,97
108,elec,0.75,2.0,greedy,0.08575398595095339,0.6384250669964956,0.5030721966205837,99
109,elec,0.75,2.0,louvain,0.10524367568740987,0.6672850958565244,0.543778801843318,99
110,coal,0.75,2.0,greedy,0.13483414283049944,0.6523955147808359,0.47244732576985415,109
111,coal,0.75,2.0,louvain,0.15257040523892207,0.689772341148488,0.520259319286872,109
112,telegraph,0.75,2.25,greedy,0.1312359329879396,0.6729017173264533,0.6342364532019704,158
113,telegraph,0.75,2.25,louvain,0.15172182502608655,0.7644924615012497,0.4815270935960591,158
114,steel,0.75,2.25,greedy,0.16496150474023238,0.6911844730636677,0.5052182163187856,149
115,steel,0.75,2.25,louvain,0.17312256282203153,0.6978958824596408,0.5208728652751423,149
116,elec,0.75,2.25,greedy,0.09428322815516538,0.624886631598041,0.5573056300268097,149
117,elec,0.75,2.25,louvain,0.09800908689058359,0.636858334844912,0.5764075067024129,149
118,coal,0.75,2.25,greedy,0.0952383689017542,0.6504299792856695,0.48726303317535546,179
119,coal,0.75,2.25,louvain,0.1094380408262393,0.6810620802209528,0.37825829383886256,179
120,telegraph,1.0,1.0,greedy,0.48872123151958546,0.9265700483091788,0.7160493827160493,46
121,telegraph,1.0,1.0,louvain,0.4894833104709648,0.9256038647342996,0.7283950617283951,46
122,steel,1.0,1.0,greedy,0.5988658777120315,0.9319727891156463,0.9871794871794872,49
123,steel,1.0,1.0,louvain,0.6180966469428008,0.9608843537414966,0.8974358974358975,49
124,elec,1.0,1.0,greedy,0.21961591220850477,0.7747899159663866,0.5333333333333333,35
125,elec,1.0,1.0,louvain,0.21061728395061727,0.7697478991596639,0.5185185185185185,35
126,coal,1.0,1.0,greedy,0.33653667307334584,0.9259796806966618,0.6850393700787402,53
127,coal,1.0,1.0,louvain,0.35504371008742003,0.9521044992743106,0.7952755905511811,53
128,telegraph,1.0,1.25,greedy,0.48872123151958546,0.9265700483091788,0.7160493827160493,46
129,telegraph,1.0,1.25,louvain,0.4841487578113092,0.9217391304347826,0.7160493827160493,46
130,steel,1.0,1.25,greedy,0.5988658777120315,0.9319727891156463,0.9871794871794872,49
131,steel,1.0,1.25,louvain,0.6180966469428008,0.9608843537414966,0.8974358974358975,49
132,elec,1.0,1.25,greedy,0.21961591220850477,0.7747899159663866,0.5333333333333333,35
133,elec,1.0,1.25,louvain,0.22076817558299042,0.7764705882352941,0.5333333333333333,35
134,coal,1.0,1.25,greedy,0.33653667307334584,0.9259796806966618,0.6850393700787402,53
135,coal,1.0,1.25,louvain,0.34400768801537585,0.9332365747460087,0.7716535433070866,53
136,telegraph,1.0,1.5,greedy,0.4658342004856053,0.9184397163120568,0.7311827956989247,48
137,telegraph,1.0,1.5,louvain,0.4658342004856053,0.9184397163120568,0.7311827956989247,48
138,steel,1.0,1.5,greedy,0.5448806968817067,0.9388235294117647,0.8202247191011236,51
139,steel,1.0,1.5,louvain,0.5433026133064007,0.92,0.9887640449438202,51
140,elec,1.0,1.5,greedy,0.23954790249433106,0.8106280193236715,0.48214285714285715,46
141,elec,1.0,1.5,louvain,0.25604095804988664,0.8144927536231884,0.5178571428571429,46
142,coal,1.0,1.5,greedy,0.3081111111111109,0.9053185271770894,0.7133333333333334,59
143,coal,1.0,1.5,louvain,0.3431999999999999,0.9216832261835184,0.6533333333333333,59
144,telegraph,1.0,1.75,greedy,0.23798668821175745,0.8646218931782126,0.5350877192982456,62
145,telegraph,1.0,1.75,louvain,0.24308441058787322,0.854574299312533,0.5789473684210527,62
146,steel,1.0,1.75,greedy,0.3080755502676978,0.8442655935613682,0.7195121951219512,71
147,steel,1.0,1.75,louvain,0.31986582060942564,0.9042253521126761,0.556910569105691,71
148,elec,1.0,1.75,greedy,0.1256361825501452,0.71875,0.45601436265709155,65
149,elec,1.0,1.75,louvain,0.12523166875638603,0.7235576923076923,0.41651705565529623,65
150,coal,1.0,1.75,greedy,0.2139904900094848,0.8224089635854341,0.6290726817042607,85
151,coal,1.0,1.75,louvain,0.225554487723067,0.8753501400560224,0.5012531328320802,85
152,telegraph,1.0,2.0,greedy,0.1474263572928436,0.7938365981844243,0.6290571870170015,92
153,telegraph,1.0,2.0,louvain,0.15938381640146293,0.8425704730052556,0.45131375579598143,92
154,steel,1.0,2.0,greedy,0.19955687255328405,0.8062059775366457,0.5801435406698564,103
155,steel,1.0,2.0,louvain,0.1999446269545111,0.8189605939463164,0.5131578947368421,103
156,elec,1.0,2.0,greedy,0.10282620872259988,0.6670789527932385,0.5192173305380853,99
157,elec,1.0,2.0,louvain,0.11472115154063389,0.7000618429189858,0.4807826694619147,99
158,coal,1.0,2.0,greedy,0.14688306871237142,0.7492063492063492,0.4780342516753537,126
159,coal,1.0,2.0,louvain,0.14982155618970208,0.7775238095238095,0.4274013402829486,126
160,telegraph,1.0,2.25,greedy,0.13658716263572437,0.7289318303811058,0.6232311320754716,162
161,telegraph,1.0,2.25,louvain,0.1585916293053577,0.7569971627942642,0.5117924528301887,162
162,steel,1.0,2.25,greedy,0.16909247641926803,0.6977984176126591,0.5016151361329027,153
163,steel,1.0,2.25,louvain,0.17829286424785595,0.7125902992776058,0.5209967697277342,153
164,elec,1.0,2.25,greedy,0.1027745063369068,0.5696535461636133,0.6055252168326374,149
165,elec,1.0,2.25,louvain,0.10647312922225263,0.6121893705786323,0.5830388692579506,149
166,coal,1.0,2.25,greedy,0.10910452461769951,0.6729341381336467,0.48149210903873746,194
167,coal,1.0,2.25,louvain,0.1220080319631789,0.7054110357352705,0.4562410329985653,194
168,telegraph,1.25,1.25,greedy,0.2805478608802707,0.9347826086956522,1.0,69
169,telegraph,1.25,1.25,louvain,0.2805478608802707,0.9347826086956522,1.0,69
170,steel,1.25,1.25,greedy,0.34295857988165707,0.9205696202531646,1.0,80
171,steel,1.25,1.25,louvain,0.39215236686390537,0.9544303797468354,0.8423076923076923,80
172,elec,1.25,1.25,greedy,0.052858350440768066,0.6666666666666666,0.421978021978022,42
173,elec,1.25,1.25,louvain,0.057053495954594864,0.6666666666666666,0.41318681318681316,42
174,coal,1.25,1.25,greedy,0.28055555555555556,0.9650707618187293,1.0,82
175,coal,1.25,1.25,louvain,0.28055555555555556,0.9650707618187293,1.0,82
176,telegraph,1.25,1.5,greedy,0.25777777777777794,0.9296675191815856,0.95,69
177,telegraph,1.25,1.5,louvain,0.25777777777777783,0.9296675191815856,0.95,69
178,steel,1.25,1.5,greedy,0.325349600359472,0.912962962962963,0.977859778597786,81
179,steel,1.25,1.5,louvain,0.3762544083005406,0.9472222222222222,0.8450184501845018,81
180,elec,1.25,1.5,greedy,0.07617239989250207,0.6979591836734694,0.5348360655737705,50
181,elec,1.25,1.5,louvain,0.08230944302606827,0.6791836734693878,0.36885245901639346,50
182,coal,1.25,1.5,greedy,0.2659854882151654,0.9480780263912794,0.8018575851393189,84
183,coal,1.25,1.5,louvain,0.26841530159399585,0.9486517498565691,0.7678018575851393,84
184,telegraph,1.25,1.75,greedy,0.18317511111111107,0.8914418914418915,0.624,78
185,telegraph,1.25,1.75,louvain,0.18046933333333334,0.8894438894438894,0.47733333333333333,78
186,steel,1.25,1.75,greedy,0.2576644248405974,0.8889137737961926,0.5514018691588785,95
187,steel,1.25,1.75,louvain,0.2688444405624945,0.8992161254199328,0.5514018691588785,95
188,elec,1.25,1.75,greedy,0.06480122320182959,0.655359565807327,0.4583808437856328,67
189,elec,1.25,1.75,louvain,0.07497116868561711,0.6264133876074175,0.4321550741163056,67
190,coal,1.25,1.75,greedy,0.1777822265147442,0.8851752021563343,0.5821678321678322,106
191,coal,1.25,1.75,louvain,0.19753563743948377,0.8991913746630728,0.5716783216783217,106
192,telegraph,1.25,2.0,greedy,0.1430977926387452,0.8383121732636296,0.6070528967254408,104
193,telegraph,1.25,2.0,louvain,0.13920445532932765,0.8586631814787155,0.3929471032745592,104
194,steel,1.25,2.0,greedy,0.18380689822873922,0.7976716769820218,0.6041257367387033,117
195,steel,1.25,2.0,louvain,0.1859061451823947,0.849543177129384,0.618860510805501,117
196,elec,1.25,2.0,greedy,0.06534521678238199,0.6132673267326733,0.4488863506567676,101
197,elec,1.25,2.0,louvain,0.07211445788830469,0.6334653465346535,0.422615648201028,101
198,coal,1.25,2.0,greedy,0.13358955660291968,0.783080040526849,0.5013192612137203,141
199,coal,1.25,2.0,louvain,0.13876739579924943,0.7916919959473151,0.46437994722955145,141
200,telegraph,1.25,2.25,greedy,0.14116339368595346,0.768819503849444,0.4698860553445469,168
201,telegraph,1.25,2.25,louvain,0.14908531908949088,0.7726689478186484,0.4888768312533912,168
202,steel,1.25,2.25,greedy,0.16092651764715687,0.7174884495947891,0.49808429118773945,163
203,steel,1.25,2.25,louvain,0.17224787555767226,0.7414224039990911,0.5798212005108557,163
204,elec,1.25,2.25,greedy,0.07765379951565865,0.567295483402866,0.5817069618409554,149
205,elec,1.25,2.25,louvain,0.08706456728269825,0.635497914021404,0.5249053306146227,149
206,coal,1.25,2.25,greedy,0.10118624487742436,0.7044822708871873,0.4502460360852925,203
207,coal,1.25,2.25,louvain,0.11672630611665943,0.7179437155538214,0.448332422088573,203
208,telegraph,1.5,1.5,greedy,0.3357515847952757,0.9716559891283246,0.9665738161559888,102
209,telegraph,1.5,1.5,louvain,0.33575158479527606,0.9716559891283246,0.9665738161559888,102
210,steel,1.5,1.5,greedy,0.34029909803398123,0.9689741451209342,0.9759825327510917,110
211,steel,1.5,1.5,louvain,0.3402990980339811,0.9689741451209342,0.9759825327510917,110
212,elec,1.5,1.5,greedy,0.08971696412475218,0.8563495001851166,0.537984496124031,74
213,elec,1.5,1.5,louvain,0.09936662460188689,0.909292854498334,0.7472868217054264,74
214,coal,1.5,1.5,greedy,0.3556406779008928,0.9581256231306082,0.8618421052631579,119
215,coal,1.5,1.5,louvain,0.3577254539858419,0.9622560888762285,0.9035087719298246,119
216,telegraph,1.5,1.75,greedy,0.21276983723712886,0.9382783882783883,0.8805668016194332,105
217,telegraph,1.5,1.75,louvain,0.2189513022668786,0.9320512820512821,0.6072874493927125,105
218,steel,1.5,1.75,greedy,0.2603701500429638,0.9109445277361319,0.7138211382113822,116
219,steel,1.5,1.75,louvain,0.26103113226254215,0.9190404797601199,0.7105691056910569,116
220,elec,1.5,1.75,greedy,0.06313718484486829,0.764985994397759,0.5367504835589942,85
