from,to,weigth
it_1910-1920_esperienza_elettrico_interessante,it_1920-1930_servizio_pubblico_aria,1.5193774104118347
it_1910-1920_esperienza_elettrico_interessante,it_1920-1930_operaio_buono_macchina,1.429244875907898
it_1910-1920_esperienza_elettrico_interessante,it_1920-1930_potere_corpo_effetto,1.4245274066925049
it_1910-1920_esperienza_elettrico_interessante,it_1920-1930_esso_teatro_diffuso,1.4156187772750854
it_1910-1920_esperienza_elettrico_interessante,it_1910-1920_carbone_elettrico_energia,1.415326714515686
it_1910-1920_esperienza_elettrico_interessante,it_1920-1930_emissione_impresa_istituto,1.3552128672599792
it_1910-1920_esperienza_elettrico_interessante,it_1910-1920_società_anonimo_ditta,1.3305335640907288
it_1910-1920_esperienza_elettrico_interessante,it_1920-1930_uccidere_contatto_piccolo,1.3230737447738647
it_1910-1920_esperienza_elettrico_interessante,it_1920-1930_costruzione_miglioramento_operazione,1.3196011185646057
it_1910-1920_esperienza_elettrico_interessante,it_1910-1920_nuovo_giornata_conquista,1.3193508982658386
it_1910-1920_esperienza_elettrico_interessante,it_1920-1930_individuo_pericolo_infortuno,1.3173159956932068
it_1910-1920_esperienza_elettrico_interessante,it_1920-1930_corrente_colpire_respirazione,1.3146655559539795
it_1910-1920_esperienza_elettrico_interessante,it_1910-1920_seduta_aria_aula,1.3061113953590393
it_1910-1920_esperienza_elettrico_interessante,it_1920-1930_società_italiano_energia,1.3043749928474426
it_1910-1920_esperienza_elettrico_interessante,it_1920-1930_grande_ricordare_mettere,1.297819197177887
it_1910-1920_esperienza_elettrico_interessante,it_1920-1930_cielo_sciopero_padrone,1.2970448732376099
it_1910-1920_esperienza_elettrico_interessante,it_1910-1920_carico_operaio_sciopero,1.296802580356598
it_1910-1920_esperienza_elettrico_interessante,it_1910-1920_torino_Italia_società,1.2934027910232544
it_1910-1920_esperienza_elettrico_interessante,it_1910-1920_cancro_laboratorio_potere,1.2615883946418762
