from,to,weigth
fr_1860-1869_rappeler_adresser_fois,it_1920-1930_York_vero_corrispondente,0.0437999963760376
fr_1860-1869_rappeler_adresser_fois,it_1920-1930_amministrazione_provvedimento_acqua,0.01535022258758545
fr_1860-1869_rappeler_adresser_fois,it_1920-1930_grande_prendere_centrale,0.009695768356323242
fr_1860-1869_rappeler_adresser_fois,it_1920-1930_albergo_numeroso_preparare,0.008360624313354492
fr_1860-1869_rappeler_adresser_fois,it_1920-1930_andare_telegramma_dire,0.006760001182556152
fr_1860-1869_rappeler_adresser_fois,it_1910-1920_Milano_firenza_palermo,0.0030690431594848633
fr_1860-1869_rappeler_adresser_fois,it_1920-1930_prova_direttore_rosso,0.0004807710647583008
fr_1860-1869_rappeler_adresser_fois,it_1920-1930_America_umano_trasporto,2.3245811462402344e-05
fr_1860-1869_fille_louis_femme,fr_1900-1910_petit_femme_jeune,0.30527710914611816
fr_1860-1869_rien_question_affaire,fr_1870-1880_politique_peuple_nation,0.2856639623641968
fr_1860-1869_rien_question_affaire,fr_1880-1890_savoir_chose_coup,0.2297729253768921
fr_1860-1869_rien_question_affaire,it_1920-1930_York_vero_corrispondente,0.17633497714996338
fr_1860-1869_rien_question_affaire,it_1920-1930_delegato_tedesco_pervenire,0.17253649234771729
fr_1860-1869_rien_question_affaire,it_1920-1930_diplomatico_trattativa_minatore,0.15210258960723877
fr_1860-1869_rien_question_affaire,fr_1880-1890_lettre_être_avoir,0.14664030075073242
fr_1860-1869_rien_question_affaire,it_1920-1930_America_umano_trasporto,0.14430618286132812
fr_1860-1869_rien_question_affaire,it_1920-1930_prova_direttore_rosso,0.13315165042877197
fr_1860-1869_rien_question_affaire,it_1920-1930_andare_telegramma_dire,0.11288237571716309
fr_1860-1869_rien_question_affaire,it_1920-1930_mosca_russo_cinese,0.10446500778198242
fr_1860-1869_rien_question_affaire,it_1920-1930_amministrazione_provvedimento_acqua,0.0992356538772583
fr_1860-1869_rien_question_affaire,it_1910-1920_Milano_firenza_palermo,0.08852946758270264
fr_1860-1869_rien_question_affaire,it_1920-1930_grande_prendere_centrale,0.0858912467956543
fr_1860-1869_rien_question_affaire,fr_1910-1920_beaucoup_fois_être,0.08545947074890137
fr_1860-1869_rien_question_affaire,it_1920-1930_nuovo_giornale_primo,0.06784379482269287
fr_1860-1869_rien_question_affaire,it_1920-1930_conferenza_seduta_gabinetto,0.06351172924041748
fr_1860-1869_rien_question_affaire,fr_1870-1880_journal_nouveau_donner,0.062246084213256836
fr_1860-1869_rien_question_affaire,it_1920-1930_questione_presidente_parola,0.05845284461975098
fr_1860-1869_rien_question_affaire,it_1910-1920_camera_Roma_potere,0.04569590091705322
fr_1860-1869_rien_question_affaire,fr_1890-1900_homme_femme_monde,0.03463137149810791
fr_1860-1869_rien_question_affaire,it_1920-1930_piazza_lira_posta,0.027960658073425293
fr_1860-1869_rien_question_affaire,it_1920-1930_lettera_estero_parola,0.027946949005126953
fr_1860-1869_rien_question_affaire,it_1920-1930_Vienna_perché_potere,0.02236020565032959
fr_1860-1869_rien_question_affaire,fr_1910-1920_falloir_vouloir_parole,0.020899534225463867
fr_1860-1869_rien_question_affaire,it_1910-1920_notizia_sciopero_servizio,0.012699604034423828
fr_1860-1869_rien_question_affaire,fr_1870-1880_voir_chose_dire,0.0055234432220458984
fr_1860-1869_rien_question_affaire,it_1920-1930_industria_apparecchio_tenere,0.002358675003051758
fr_1860-1869_nommer_président_province,fr_1870-1880_politique_peuple_nation,0.25184082984924316
fr_1860-1869_nommer_président_province,it_1920-1930_prova_direttore_rosso,0.05216372013092041
fr_1860-1869_nommer_président_province,it_1920-1930_York_vero_corrispondente,0.044576168060302734
fr_1860-1869_nommer_président_province,it_1920-1930_diplomatico_trattativa_minatore,0.03598523139953613
fr_1860-1869_mise_anglais_vouloir,fr_1880-1890_lettre_être_avoir,0.6102719306945801
fr_1860-1869_mise_anglais_vouloir,fr_1890-1900_homme_femme_monde,0.5473157167434692
fr_1860-1869_mise_anglais_vouloir,fr_1910-1920_bien_long_mort,0.36022353172302246
fr_1860-1869_mise_anglais_vouloir,fr_1880-1890_savoir_chose_coup,0.3144010305404663
fr_1860-1869_mise_anglais_vouloir,fr_1870-1880_voir_chose_dire,0.30651700496673584
fr_1860-1869_mise_anglais_vouloir,it_1920-1930_grande_prendere_centrale,0.29143238067626953
