Unnamed: 0.1,Unnamed: 0,topic_id,topic,country,keyword,period
0.0,0.0,1860-1869_telegraph_fr_0,"['rome', 'garibaldi', 'italien', 'pontifical', 'corps', 'florence', 'gouvernement', 'patrie', 'italie', 'service']",fr,telegraph,1860-1869
1.0,1.0,1860-1869_telegraph_fr_1,"['pari', 'prix', 'administration', 'lettre', 'dépêche', 'figaro', 'poste', 'employé', 'bonheur', 'tête']",fr,telegraph,1860-1869
2.0,2.0,1860-1869_telegraph_fr_2,"['rappeler', 'adresser', 'fois', 'chambre', 'artiste', 'reprendre', 'entendre', 'apercevoir', 'baron', 'voiture']",fr,telegraph,1860-1869
3.0,3.0,1860-1869_telegraph_fr_3,"['ambassadeur', 'midi', 'vite', 'marche', 'directeur', 'nouvelle', 'instant', 'soir', 'jeune', 'prince']",fr,telegraph,1860-1869
4.0,4.0,1860-1869_telegraph_fr_4,"['fille', 'louis', 'femme', 'perdre', 'famille', 'parler', 'amour', 'dame', 'chanter', 'patti']",fr,telegraph,1860-1869
5.0,5.0,1860-1869_telegraph_fr_5,"['fournier', 'pompe', 'mardi', 'chant', 'mademoiselle', 'théâtre', 'directeur', 'câble', 'brest', 'transatlantique']",fr,telegraph,1860-1869
6.0,6.0,1860-1869_telegraph_fr_6,"['terrestre', 'américain', 'appareil', 'terre', 'anglais', 'irlande', 'étranger', 'anglais', 'angleterre', 'liberté']",fr,telegraph,1860-1869
7.0,7.0,1860-1869_telegraph_fr_7,"['rien', 'question', 'affaire', 'langue', 'grand', 'bout', 'journal', 'politique', 'presse', 'france']",fr,telegraph,1860-1869
8.0,8.0,1860-1869_telegraph_fr_8,"['jour', 'dernier', 'semaine', 'cabinet', 'feuille', 'électrique', 'aiguille', 'brouillard', 'télégraphie', 'claude']",fr,telegraph,1860-1869
9.0,9.0,1860-1869_telegraph_fr_9,"['inventeur', 'chappe', 'aérien', 'appareil', 'signal', 'église', 'comte', 'religieux', 'tenir', 'voix']",fr,telegraph,1860-1869
10.0,10.0,1860-1869_telegraph_fr_10,"['lord', 'brillant', 'million', 'compagnie', 'empereur', 'ville', 'général', 'préfet', 'reine', 'prince']",fr,telegraph,1860-1869
11.0,11.0,1860-1869_telegraph_fr_11,"['nommer', 'président', 'province', 'etat', 'peuple', 'boursier', 'mot', 'besoin', 'voyage', 'situation']",fr,telegraph,1860-1869
12.0,12.0,1860-1869_telegraph_fr_12,"['rapport', 'donner', 'bourse', 'corps', 'ancien', 'mort', 'pièce', 'fait', 'conseiller', 'voix']",fr,telegraph,1860-1869
13.0,13.0,1860-1869_telegraph_fr_13,"['député', 'que', 'salle', 'lune', 'boum', 'feuilleton', 'eugène', 'lyrique', 'théâtre', 'hollande']",fr,telegraph,1860-1869
14.0,14.0,1860-1869_telegraph_fr_14,"['mise', 'anglais', 'vouloir', 'franc', 'chose', 'bien', 'aller', 'heure', 'voir', 'être']",fr,telegraph,1860-1869
15.0,15.0,1860-1869_telegraph_fr_15,"['jour', 'nouveau', 'commissionnaire', 'corde', 'joie', 'foule', 'pousser', 'groupe', 'vif', 'geste']",fr,telegraph,1860-1869
16.0,16.0,1860-1869_telegraph_fr_16,"['éclat', 'point', 'falloir', 'public', 'passer', 'coup', 'mettre', 'moment', 'connaître', 'paraître']",fr,telegraph,1860-1869
17.0,17.0,1860-1869_telegraph_fr_17,"['donner', 'ollivier', 'amiral', 'fortune', 'exposition', 'prusse', 'louise', 'titre', 'occupe', 'mérite']",fr,telegraph,1860-1869
18.0,18.0,1860-1869_telegraph_fr_18,"['marine', 'ordre', 'armée', 'chef', 'valoir', 'troupe', 'grand', 'gouvernement', 'citoyen', 'ligne']",fr,telegraph,1860-1869
19.0,19.0,1860-1869_telegraph_fr_19,"['joue', 'flaubert', 'chimay', 'bovary', 'sourd', 'esprit', 'gustav', 'livre', 'page', 'muet']",fr,telegraph,1860-1869
20.0,20.0,1870-1880_telegraph_fr_0,"['prince', 'empereur', 'reine', 'comte', 'madrid', 'impérial', 'napoléon', 'princesse', 'royal', 'docteur']",fr,telegraph,1870-1880
21.0,21.0,1870-1880_telegraph_fr_1,"['train', 'maison', 'heure', 'tomber', 'mort', 'midi', 'nuit', 'coup', 'trouve', 'neuf']",fr,telegraph,1870-1880
22.0,22.0,1870-1880_telegraph_fr_2,"['voir', 'chose', 'dire', 'beau', 'temps', 'homme', 'petit', 'frère', 'jeune', 'bout']",fr,telegraph,1870-1880
23.0,23.0,1870-1880_telegraph_fr_3,"['français', 'bismarck', 'titre', 'allemand', 'produire', 'vérité', 'traité', 'argent', 'situation', 'événement']",fr,telegraph,1870-1880
24.0,24.0,1870-1880_telegraph_fr_4,"['journal', 'nouveau', 'donner', 'recevoir', 'jour', 'devoir', 'service', 'annoncer', 'paraître', 'lettre']",fr,telegraph,1870-1880
25.0,25.0,1870-1880_telegraph_fr_5,"['cardinal', 'foule', 'pape', 'place', 'fête', 'voiture', 'ville', 'cortège', 'église', 'blanc']",fr,telegraph,1870-1880
26.0,26.0,1870-1880_telegraph_fr_6,"['bureau', 'mot', 'pari', 'exposition', 'Monsieur', 'vent', 'bourse', 'poste', 'plaisir', 'administration']",fr,telegraph,1870-1880
27.0,27.0,1870-1880_telegraph_fr_7,"['franc', 'artiste', 'théâtre', 'mlle', 'figaro', 'opéra', 'représentation', 'million', 'province', 'somme']",fr,telegraph,1870-1880
28.0,28.0,1870-1880_telegraph_fr_8,"['daily', 'telegraph', 'mars', 'toulouse', 'bennett', 'capitaine', 'nord', 'anglais', 'grève', 'carliste']",fr,telegraph,1870-1880
29.0,29.0,1870-1880_telegraph_fr_9,"['russie', 'paix', 'puissance', 'russe', 'angleterre', 'europe', 'orient', 'czar', 'armistice', 'guerre']",fr,telegraph,1870-1880
30.0,30.0,1870-1880_telegraph_fr_10,"['maréchal', 'homme', 'préfecture', 'contre', 'partir', 'soldat', 'garde', 'tête', 'monter', 'mahon']",fr,telegraph,1870-1880
31.0,31.0,1870-1880_telegraph_fr_11,"['turc', 'serbe', 'pacha', 'sultan', 'russe', 'serbie', 'danube', 'belgrade', 'turquie', 'constantinople']",fr,telegraph,1870-1880
32.0,32.0,1870-1880_telegraph_fr_12,"['bazaine', 'évasion', 'baragnon', 'schneider', 'creusot', 'ouvrier', 'merton', 'canne', 'usine', 'marseille']",fr,telegraph,1870-1880
